#9 Dream|John Lennon|#9 Dream by John Lennon|1975
I Can't Tell You Why|Eagles|I Can't Tell You Why by Eagles|1979
I Don't Believe In Love|Queensryche|I Don't Believe In Love by Queensryche|
I Don't Care Anymore|Phil Collins|I Don't Care Anymore by Phil Collins|
I Don't Know|Ozzy Osbourne|I Don't Know by Ozzy Osbourne|1980
I Don't Want To Know|Fleetwood Mac|I Don't Want To Know by Fleetwood Mac|1977
I Drink Alone|George Thorogood|I Drink Alone by George Thorogood|1985
I Feel Fine|The Beatles|I Feel Fine by The Beatles|1964
I Fought The Law|The Clash|I Fought The Law by The Clash|
I Hate Myself For Loving You|Joan Jett|I Hate Myself For Loving You by Joan Jett|1988
I HEAR YOU KNOCKING|Dave Edmunds|I HEAR YOU KNOCKING by Dave Edmunds|1970
I Heard It Through the Grapevine|Creedence Clearwater Revival|I Heard It Through the Grapevine by Creedence Clearwater Revival|
I Just Want To Make Love To You|Foghat|I Just Want To Make Love To You by Foghat|
I Know a Little|Lynyrd Skynyrd|I Know a Little by Lynyrd Skynyrd|1977
I Know I'm Losing You|Rod Stewart|I Know I'm Losing You by Rod Stewart|
I Love Rock 'n Roll|Joan Jett|I Love Rock 'n Roll by Joan Jett|1981
I Love the Night|Blue Oyster Cult|I Love the Night by Blue Oyster Cult|1977
I Melt With You|Modern English|I Melt With You by Modern English|1982
I Need A Lover|John Mellencamp|I Need A Lover by John Mellencamp|1978
I Need to Know|Tom Petty & The Heartbreakers|I Need to Know by Tom Petty & The Heartbreakers|
I Remember You|Skid Row|I Remember You by Skid Row|1989
I Saw Her Standing There|The Beatles|I Saw Her Standing There by The Beatles|1963
I Saw the Light|Todd Rundgren|I Saw the Light by Todd Rundgren|1972
I Shot The Sheriff|Eric Clapton|I Shot The Sheriff by Eric Clapton|1974
I Still Haven't Found What I'm Looking For|U2|I Still Haven't Found What I'm Looking For by U2|1987
I Thank You|ZZ Top|I Thank You by ZZ Top|
I Wanna Be Sedated|The Ramones|I Wanna Be Sedated by The Ramones|1978
I Wanna Rock|Twisted Sister|I Wanna Rock by Twisted Sister|1984
I Want A New Drug|Huey Lewis & The News|I Want A New Drug by Huey Lewis & The News|1983
I Want To Hold Your Hand|The Beatles|I Want To Hold Your Hand by The Beatles|1963
I Want to Know What Love Is|Foreigner|I Want to Know What Love Is by Foreigner|1984
I Want You (She's So Heavy)|The Beatles|I Want You (She's So Heavy) by The Beatles|1969
I Want You to Want Me|Cheap Trick|I Want You to Want Me by Cheap Trick|1977
I Will Follow|U2|I Will Follow by U2|1980
I Won't Back Down|Tom Petty & The Heartbreakers|I Won't Back Down by Tom Petty & The Heartbreakers|1989
I Wouldn't Want to Be Like You|The Alan Parsons Project|I Wouldn't Want to Be Like You by The Alan Parsons Project|
I'd Love To Change The World|Ten Years After|I'd Love To Change The World by Ten Years After|1971
I'll Fall In Love Again|Sammy Hagar|I'll Fall In Love Again by Sammy Hagar|
I'll Follow The Sun|The Beatles|I'll Follow The Sun by The Beatles|1964
I'll Wait|Van Halen|I'll Wait by Van Halen|
I'm A Loser|The Beatles|I'm A Loser by The Beatles|1964
I'm a Man|Chicago|I'm a Man by Chicago|
I'm A Man|The Spencer Davis Group|I'm A Man by The Spencer Davis Group|1967
I'm Alright|Kenny Loggins|I'm Alright by Kenny Loggins|1980
I'm Down|The Beatles|I'm Down by The Beatles|1965
I'm Eighteen|Alice Cooper|I'm Eighteen by Alice Cooper|1971
I'm Free|The Who|I'm Free by The Who|1969
I'm Goin' Home|Ten Years After|I'm Goin' Home by Ten Years After|
I'm Leaving|Taxxi|I'm Leaving by Taxxi|
I'm No Angel|Gregg Allman|I'm No Angel by Gregg Allman|1987
I'm On Fire|Bruce Springsteen|I'm On Fire by Bruce Springsteen|1984
I'm So Afraid|Fleetwood Mac|I'm So Afraid by Fleetwood Mac|
I'm So Glad|Cream|I'm So Glad by Cream|1966
I'm the One|Van Halen|I'm the One by Van Halen|1978
I'm the Only One|Melissa Etheridge|I'm the Only One by Melissa Etheridge|1993
I've Got A Feeling|The Beatles|I've Got A Feeling by The Beatles|1970
I've Got a Rock 'N' Roll Heart|Eric Clapton|I've Got a Rock 'N' Roll Heart by Eric Clapton|
I've Just Seen A Face|The Beatles|I've Just Seen A Face by The Beatles|1965
I've Seen All Good People|Yes|I've Seen All Good People by Yes|1971
Ice Cream Man|Van Halen|Ice Cream Man by Van Halen|1978
If 6 Was 9|Jimi Hendrix|If 6 Was 9 by Jimi Hendrix|
If I Say|Kingofthehill|If I Say by Kingofthehill|
If Looks Could Kill|Heart|If Looks Could Kill by Heart|
If You Could Only See|Tonic|If You Could Only See by Tonic|
If You Love Somebody Set Them Free|Sting|If You Love Somebody Set Them Free by Sting|
If You Wanna Get to Heaven|Ozark Mountain Daredevils|If You Wanna Get to Heaven by Ozark Mountain Daredevils|1973
Illegal Smile|John Prine|Illegal Smile by John Prine|
Imagine|John Lennon|Imagine by John Lennon|1971
Immigrant Song|Ann Wilson|Immigrant Song by Ann Wilson|
Immigrant Song|Led Zeppelin|Immigrant Song by Led Zeppelin|1970
In a Big Country|Big Country|In a Big Country by Big Country|1983
In A Gadda Da Vida|Iron Butterfly|In A Gadda Da Vida by Iron Butterfly|1968
In America|Charlie Daniels Band|In America by Charlie Daniels Band|1980
In Bloom|Nirvana|In Bloom by Nirvana|1991
In Memory Of Elizabeth Reed|Allman Brothers Band|In Memory Of Elizabeth Reed by Allman Brothers Band|1970
In My Dreams|Dokken|In My Dreams by Dokken|
IN MY LIFE|The Beatles|IN MY LIFE by The Beatles|1965
In My Time of Dying|Led Zeppelin|In My Time of Dying by Led Zeppelin|1975
In the Air Tonight|Phil Collins|In the Air Tonight by Phil Collins|1981
In The City|Eagles|In The City by Eagles|1979
In the City|Joe Walsh|In the City by Joe Walsh|1979
In the Dark|Billy Squier|In the Dark by Billy Squier|
In the Evening|Led Zeppelin|In the Evening by Led Zeppelin|1979
In the Light|Led Zeppelin|In the Light by Led Zeppelin|1975
In The Mood|Robert Plant|In The Mood by Robert Plant|1983
In The Mood|Rush|In The Mood by Rush|1974
In the Summertime|Mungo Jerry|In the Summertime by Mungo Jerry|1970
In Your Eyes|Peter Gabriel|In Your Eyes by Peter Gabriel|1986
Industrial Disease|Dire Straits|Industrial Disease by Dire Straits|1982
Inside Out|Eve 6|Inside Out by Eve 6|
Instant Karma|John Lennon|Instant Karma by John Lennon|1970
Interstate Love Song|Stone Temple Pilots|Interstate Love Song by Stone Temple Pilots|1994
Into The Fire|Dokken|Into The Fire by Dokken|
Into the Great Wide Open|Tom Petty & The Heartbreakers|Into the Great Wide Open by Tom Petty & The Heartbreakers|
Into The Mystic|Van Morrison|Into The Mystic by Van Morrison|1970
Intruder/ Pretty Woman|Van Halen|Intruder/ Pretty Woman by Van Halen|
Invincible|Pat Benatar|Invincible by Pat Benatar|1985
Invisible Sun|The Police|Invisible Sun by The Police|1981
Iris|The Goo Goo Dolls|Iris by The Goo Goo Dolls|1998
Iron Man|Black Sabbath|Iron Man by Black Sabbath|1972
Is She Really Going Out With Him?|Joe Jackson|Is She Really Going Out With Him? by Joe Jackson|1979
Is This Love|Whitesnake|Is This Love by Whitesnake|1987
Isn't It Time|The Babys|Isn't It Time by The Babys|1977
It Can Happen|Yes|It Can Happen by Yes|1983
It Don't Come Easy|Ringo Starr|It Don't Come Easy by Ringo Starr|1971
It Keeps You Runnin'|The Doobie Brothers|It Keeps You Runnin' by The Doobie Brothers|
It Wasn't Me|George Thorogood|It Wasn't Me by George Thorogood|
IT WON'T BE LONG|The Beatles|IT WON'T BE LONG by The Beatles|1963
It's A Long Way To The Top|AC/DC|It's A Long Way To The Top by AC/DC|1975
It's All I Can Do|The Cars|It's All I Can Do by The Cars|
IT'S ALL OVER NOW|Rolling Stones|IT'S ALL OVER NOW by Rolling Stones|1964
It's Been Awhile|Staind|It's Been Awhile by Staind|2001
It's Hard to Be a Saint in the City|Bruce Springsteen|It's Hard to Be a Saint in the City by Bruce Springsteen|1973
It's In The Way That You Use It|Eric Clapton|It's In The Way That You Use It by Eric Clapton|1986
It's Late|Queen|It's Late by Queen|
It's Only Rock 'n Roll|Rolling Stones|It's Only Rock 'n Roll by Rolling Stones|1974
It's Still Rock And Roll To Me|Billy Joel|It's Still Rock And Roll To Me by Billy Joel|1980
It's the End of the World As We Know It (And I Feel Fine)|R.E.M.|It's the End of the World As We Know It (And I Feel Fine) by R.E.M.|1987
IT'S TOO LATE|Carole King|IT'S TOO LATE by Carole King|1971
Itchycoo Park|The Small Faces|Itchycoo Park by The Small Faces|1967
Jack & Diane|John Mellencamp|Jack & Diane by John Mellencamp|1982
Jackie Blue|Ozark Mountain Daredevils|Jackie Blue by Ozark Mountain Daredevils|1975
Jackie Wilson Said|Van Morrison|Jackie Wilson Said by Van Morrison|
Jaded|Aerosmith|Jaded by Aerosmith|2001
Jailbreak|AC/DC|Jailbreak by AC/DC|1984
Jailbreak|Thin Lizzy|Jailbreak by Thin Lizzy|1976
Jamie's Cryin'|Van Halen|Jamie's Cryin' by Van Halen|1978
Jammin' Me|Tom Petty & The Heartbreakers|Jammin' Me by Tom Petty & The Heartbreakers|1987
Jamming|Bob Marley|Jamming by Bob Marley|
Jane|Jefferson Starship|Jane by Jefferson Starship|1979
Jane Says|Jane's Addiction|Jane Says by Jane's Addiction|1988
Janie's Got A Gun|Aerosmith|Janie's Got A Gun by Aerosmith|1989
Jealous Again|The Black Crowes|Jealous Again by The Black Crowes|
Jean Genie|David Bowie|Jean Genie by David Bowie|
Jeepster|T. Rex|Jeepster by T. Rex|1971
Jeremy|Pearl Jam|Jeremy by Pearl Jam|1991
Jersey Girl|Bruce Springsteen|Jersey Girl by Bruce Springsteen|
Jessica|Allman Brothers Band|Jessica by Allman Brothers Band|1973
Jessie's Girl|Rick Springfield|Jessie's Girl by Rick Springfield|1981
Jesus Is Just Alright|The Doobie Brothers|Jesus Is Just Alright by The Doobie Brothers|1972
Jesus Just Left Chicago|ZZ Top|Jesus Just Left Chicago by ZZ Top|1973
Jet|Paul McCartney & Wings|Jet by Paul McCartney & Wings|1973
Jet Airliner|Steve Miller Band|Jet Airliner by Steve Miller Band|1977
Jet City Woman|Queensryche|Jet City Woman by Queensryche|1990
Jingo|Santana|Jingo by Santana|1969
Joe's Garage|Frank Zappa|Joe's Garage by Frank Zappa|1979
JOHNNY B. GOODE|Chuck Berry|JOHNNY B. GOODE by Chuck Berry|1958
Join Together|The Who|Join Together by The Who|1972
Journey to the Center of the Mind|The Amboy Dukes|Journey to the Center of the Mind by The Amboy Dukes|1968
Juke Box Hero|Foreigner|Juke Box Hero by Foreigner|1981
Jump|Van Halen|Jump by Van Halen|1984
Jump into the Fire|Harry Nilsson|Jump into the Fire by Harry Nilsson|
Jumpin' Jack Flash|Rolling Stones|Jumpin' Jack Flash by Rolling Stones|1968
Jungle Love|Steve Miller Band|Jungle Love by Steve Miller Band|1977
Jungleland|Bruce Springsteen|Jungleland by Bruce Springsteen|1975
Junior's Farm|Paul McCartney & Wings|Junior's Farm by Paul McCartney & Wings|1974
Just A Gigolo / I Ain't Got Nobody|David Lee Roth|Just A Gigolo / I Ain't Got Nobody by David Lee Roth|1985
Just A Job To Do|Genesis|Just A Job To Do by Genesis|
Just Dropped In|Kenny Loggins|Just Dropped In by Kenny Loggins|
Just Got Paid|ZZ Top|Just Got Paid by ZZ Top|
Just Like A Woman|Bob Dylan|Just Like A Woman by Bob Dylan|1966
Just My Imagination|Rolling Stones|Just My Imagination by Rolling Stones|
Just the Same Way|Journey|Just the Same Way by Journey|
Just What I Needed|The Cars|Just What I Needed by The Cars|1978
JUST YOU AND ME|Chicago|JUST YOU AND ME by Chicago|
Kashmir|Led Zeppelin|Kashmir by Led Zeppelin|1975
Katmandu|Bob Seger|Katmandu by Bob Seger|1975
Keep On Loving You|REO Speedwagon|Keep On Loving You by REO Speedwagon|1980
Keep Pushin'  1977|REO Speedwagon|Keep Pushin'  1977 by REO Speedwagon|
Keep Talking|Pink Floyd|Keep Talking by Pink Floyd|1994
Keep Your Hands To Yourself|Georgia Satellites|Keep Your Hands To Yourself by Georgia Satellites|1986
Keep Yourself Alive|Queen|Keep Yourself Alive by Queen|1973
Kentucky Woman|Deep Purple|Kentucky Woman by Deep Purple|1968
Key To The Rhyme|Lake|Key To The Rhyme by Lake|
Kick It Out|Heart|Kick It Out by Heart|
Kickin' My Heart Around|The Black Crowes|Kickin' My Heart Around by The Black Crowes|
Kickstart My Heart|Motley Crue|Kickstart My Heart by Motley Crue|1989
Killer Queen|Queen|Killer Queen by Queen|1974
King Of Pain|The Police|King Of Pain by The Police|1983
Kings and Queens|Aerosmith|Kings and Queens by Aerosmith|
Kiss Me Deadly|Lita Ford|Kiss Me Deadly by Lita Ford|1988
Knockin' On Heaven's Door|Bob Dylan|Knockin' On Heaven's Door by Bob Dylan|1973
Knockin' On Heaven's Door|Eric Clapton|Knockin' On Heaven's Door by Eric Clapton|
Knockin' On Heaven's Door|Guns N' Roses|Knockin' On Heaven's Door by Guns N' Roses|
Knocking At Your Backdoo|Deep Purple|Knocking At Your Backdoo by Deep Purple|1984
Kodachrome|Paul Simon|Kodachrome by Paul Simon|1973
Kryptonite|3 Doors Down|Kryptonite by 3 Doors Down|2000
L.A. Woman|The Doors|L.A. Woman by The Doors|1971
La Grange|ZZ Top|La Grange by ZZ Top|1973
Lady|Styx|Lady by Styx|1973
Lady Madonna|The Beatles|Lady Madonna by The Beatles|1968
Lady Picture Show|Stone Temple Pilots|Lady Picture Show by Stone Temple Pilots|
Lady Writer|Dire Straits|Lady Writer by Dire Straits|1979
Land Of Confusion|Genesis|Land Of Confusion by Genesis|1986
Landslide|Fleetwood Mac|Landslide by Fleetwood Mac|1975
Landslide|Smashing Pumpkins|Landslide by Smashing Pumpkins|
Last Child|Aerosmith|Last Child by Aerosmith|1976
Last Kiss|Pearl Jam|Last Kiss by Pearl Jam|1999
Lay Down Sally|Eric Clapton|Lay Down Sally by Eric Clapton|1977
Lay It On the Line|Triumph|Lay It On the Line by Triumph|
Lay Your Hands On Me|Bon Jovi|Lay Your Hands On Me by Bon Jovi|1988
Layla|Derek & The Dominos|Layla by Derek & The Dominos|1970
Layla|Eric Clapton|Layla by Eric Clapton|
Lazy|Deep Purple|Lazy by Deep Purple|1972
Learn To Fly|Foo Fighters|Learn To Fly by Foo Fighters|1999
Learning to Fly|Pink Floyd|Learning to Fly by Pink Floyd|1987
Learning To Fly|Tom Petty & The Heartbreakers|Learning To Fly by Tom Petty & The Heartbreakers|1991
Leather and Lace|Stevie Nicks|Leather and Lace by Stevie Nicks|1981
Leave It|Yes|Leave It by Yes|1983
Legs|ZZ Top|Legs by ZZ Top|1983
Let 'Em In|Paul McCartney & Wings|Let 'Em In by Paul McCartney & Wings|
Let It Be|The Beatles|Let It Be by The Beatles|1970
Let It Bleed|Rolling Stones|Let It Bleed by Rolling Stones|1969
Let It Grow|Eric Clapton|Let It Grow by Eric Clapton|1974
Let It Rain|Eric Clapton|Let It Rain by Eric Clapton|1970
Let It Ride|Bachman-Turner Overdrive|Let It Ride by Bachman-Turner Overdrive|1973
Let Me Roll It|Paul McCartney & Wings|Let Me Roll It by Paul McCartney & Wings|1973
Let Me Take You Home Tonight|Boston|Let Me Take You Home Tonight by Boston|1976
Let My Love Open the Door|Pete Townshend|Let My Love Open the Door by Pete Townshend|1980
Let the Music Do the Talking|Aerosmith|Let the Music Do the Talking by Aerosmith|1985
Let There Be Rock|AC/DC|Let There Be Rock by AC/DC|1977
Let's Dance|David Bowie|Let's Dance by David Bowie|1983
Let's Get It Up|AC/DC|Let's Get It Up by AC/DC|
Let's Get the Show on the Road|Michael Stanley|Let's Get the Show on the Road by Michael Stanley|
Let's Go|The Cars|Let's Go by The Cars|1979
Let's Ride|Kid Rock|Let's Ride by Kid Rock|2012
Let's Spend the Night Together|Rolling Stones|Let's Spend the Night Together by Rolling Stones|1967
Levon|Elton John|Levon by Elton John|1071
Lick It Up|Kiss|Lick It Up by Kiss|1983
Lido Shuffle|Boz Scaggs|Lido Shuffle by Boz Scaggs|1976
Life by the Drop|Stevie Ray Vaughan|Life by the Drop by Stevie Ray Vaughan|
Life During Wartime|Talking Heads|Life During Wartime by Talking Heads|1979
Life in the Fast Lane|Eagles|Life in the Fast Lane by Eagles|1976
Life in the Fast Lane|The New Eagles|Life in the Fast Lane by The New Eagles|1976
Life Is a Highway|Tom Cochrane|Life Is a Highway by Tom Cochrane|1992
Life's Been Good|Joe Walsh|Life's Been Good by Joe Walsh|
Light My Fire|The Doors|Light My Fire by The Doors|1967
Light Up|Styx|Light Up by Styx|1975
Lightning Bolt|Pearl Jam|Lightning Bolt by Pearl Jam|2013
Lightning Crashes|Live|Lightning Crashes by Live|1994
Lights|Journey|Lights by Journey|1978
Lights Out (Live)|UFO|Lights Out (Live) by UFO|1976
Like a Hurricane|Neil Young|Like a Hurricane by Neil Young|1977
Like a Rolling Stone|Bob Dylan|Like a Rolling Stone by Bob Dylan|1965
Like a Rolling Stone|Jimi Hendrix|Like a Rolling Stone by Jimi Hendrix|
Like A Rolling Stone|Rolling Stones|Like A Rolling Stone by Rolling Stones|
Like a Stone|Audioslave|Like a Stone by Audioslave|2002
Like You Do|REO Speedwagon|Like You Do by REO Speedwagon|
Limelight|Rush|Limelight by Rush|1981
Listen To The Music|The Doobie Brothers|Listen To The Music by The Doobie Brothers|1972
Listen To What The Man Says|Paul McCartney & Wings|Listen To What The Man Says by Paul McCartney & Wings|
Listen To Your Heart|Tom Petty & The Heartbreakers|Listen To Your Heart by Tom Petty & The Heartbreakers|
Lithium|Nirvana|Lithium by Nirvana|1991
Little Bit of Sympathy|Robin Trower|Little Bit of Sympathy by Robin Trower|
Little By Little|Robert Plant|Little By Little by Robert Plant|
LITTLE CHILD|The Beatles|LITTLE CHILD by The Beatles|1963
Little Dreamer|Van Halen|Little Dreamer by Van Halen|
Little Guitars|Van Halen|Little Guitars by Van Halen|1982
Little Lies|Fleetwood Mac|Little Lies by Fleetwood Mac|1987
Little Queen|Heart|Little Queen by Heart|
Little Queenie|Rolling Stones|Little Queenie by Rolling Stones|
Little Suzi|Tesla|Little Suzi by Tesla|
Little Wing|Jimi Hendrix|Little Wing by Jimi Hendrix|1967
Little Wing|Stevie Ray Vaughan|Little Wing by Stevie Ray Vaughan|
Live and Let Die|Guns N' Roses|Live and Let Die by Guns N' Roses|
Live and Let Die|Paul McCartney & Wings|Live and Let Die by Paul McCartney & Wings|1973
Live Wire|AC/DC|Live Wire by AC/DC|
Livin' On A Prayer|Bon Jovi|Livin' On A Prayer by Bon Jovi|1986
Livin' On The Edge|Aerosmith|Livin' On The Edge by Aerosmith|1993
Livin' On the Fault Line|The Doobie Brothers|Livin' On the Fault Line by The Doobie Brothers|
Livin' Thing|Electric Light Orchestra|Livin' Thing by Electric Light Orchestra|1976
Living After Midnight|Judas Priest|Living After Midnight by Judas Priest|1980
Living In The Past|Jethro Tull|Living In The Past by Jethro Tull|1969
Living in the U.S.A.|Steve Miller Band|Living in the U.S.A. by Steve Miller Band|
Living Loving Maid (She's Just a Woman)|Led Zeppelin|Living Loving Maid (She's Just a Woman) by Led Zeppelin|1969
Load Out/Stay|Jackson Browne|Load Out/Stay by Jackson Browne|1977
Loco-Motion|Grand Funk Railroad|Loco-Motion by Grand Funk Railroad|1974
Locomotive Breath|Jethro Tull|Locomotive Breath by Jethro Tull|1971
Lodi|Creedence Clearwater Revival|Lodi by Creedence Clearwater Revival|1969
Lola|The Kinks|Lola by The Kinks|1970
London Calling|The Clash|London Calling by The Clash|1979
Lonely Boy|The Black Keys|Lonely Boy by The Black Keys|2011
Lonely Is the Night|Billy Squier|Lonely Is the Night by Billy Squier|1981
Lonely Ol' Night|John Mellencamp|Lonely Ol' Night by John Mellencamp|1985
Long Cool Woman|Hollies|Long Cool Woman by Hollies|1971
Long Distance Runaround|Yes|Long Distance Runaround by Yes|1972
Long Haired Country Boy|Charlie Daniels Band|Long Haired Country Boy by Charlie Daniels Band|1975
Long Live Rock|The Who|Long Live Rock by The Who|1972
Long Stick Goes Boom|Krokus|Long Stick Goes Boom by Krokus|
Long Train Runnin'|The Doobie Brothers|Long Train Runnin' by The Doobie Brothers|1973
Longview|Green Day|Longview by Green Day|1994
Look At Little Sister|Stevie Ray Vaughan|Look At Little Sister by Stevie Ray Vaughan|
Look Into The Future|Journey|Look Into The Future by Journey|
Look What The Cat Dragged In|Poison|Look What The Cat Dragged In by Poison|
Lookin' Out My Back Door|Creedence Clearwater Revival|Lookin' Out My Back Door by Creedence Clearwater Revival|1970
Looking For A Love|J. Geils Band|Looking For A Love by J. Geils Band|
Looks That Kill|Motley Crue|Looks That Kill by Motley Crue|
Lords of Summer (First Pass Version)|Metallica|Lords of Summer (First Pass Version) by Metallica|
Lorelei|Styx|Lorelei by Styx|1975
Loser|3 Doors Down|Loser by 3 Doors Down|2000
Loser|Beck|Loser by Beck|1994
Loser|Grateful Dead|Loser by Grateful Dead|
Losing My Religion|R.E.M.|Losing My Religion by R.E.M.|1991
Love Alive|Heart|Love Alive by Heart|
Love Bites|Def Leppard|Love Bites by Def Leppard|1987
Love Has Taken Its Toll|Foreigner|Love Has Taken Its Toll by Foreigner|
Love Her Madly|The Doors|Love Her Madly by The Doors|1971
Love Hurts|Nazareth|Love Hurts by Nazareth|1976
Love In An Elevator|Aerosmith|Love In An Elevator by Aerosmith|1989
Love Is A Battlefield|Pat Benatar|Love Is A Battlefield by Pat Benatar|1983
Love Is Alive|Gary Wright|Love Is Alive by Gary Wright|
Love Is Like A Rock|Donnie Iris|Love Is Like A Rock by Donnie Iris|1981
Love Is Like Oxygen|Sweet|Love Is Like Oxygen by Sweet|1978
Love Me Do|The Beatles|Love Me Do by The Beatles|1962
Love Me Two Times|The Doors|Love Me Two Times by The Doors|1967
Love Reign O'er Me|The Who|Love Reign O'er Me by The Who|1973
Love Shack|The B-52's|Love Shack by The B-52's|1989
Love Song|Tesla|Love Song by Tesla|1989
Love Stinks|J. Geils Band|Love Stinks by J. Geils Band|
Love the One You're With|Stephen Stills|Love the One You're With by Stephen Stills|1971
Love The One You'Re With|Steven Stills|Love The One You'Re With by Steven Stills|1971
Love Walks In|Van Halen|Love Walks In by Van Halen|1986
Lovely Rita|The Beatles|Lovely Rita by The Beatles|1967
Loves Me Like a Rock|Paul Simon|Loves Me Like a Rock by Paul Simon|1973
Lovin' Every Minute of It|Loverboy|Lovin' Every Minute of It by Loverboy|
Loving You Sunday Morning|Scorpions|Loving You Sunday Morning by Scorpions|
Low|Cracker|Low by Cracker|1993
Low Rider|War|Low Rider by War|1975
Lowdown|Boz Scaggs|Lowdown by Boz Scaggs|1976
Lucy In The Sky With Diamonds|The Beatles|Lucy In The Sky With Diamonds by The Beatles|1967
Lunatic Fringe|Red Rider|Lunatic Fringe by Red Rider|1981
Lust for Life|Iggy Pop|Lust for Life by Iggy Pop|1977
Lyin' Eyes|Eagles|Lyin' Eyes by Eagles|1975
Machinehead|Bush|Machinehead by Bush|1994
Madman Across The Water|Elton John|Madman Across The Water by Elton John|1971
Maggie May|Rod Stewart|Maggie May by Rod Stewart|1971
Maggot Brain|Funkadelic|Maggot Brain by Funkadelic|1971
Magic|The Cars|Magic by The Cars|1984
Magic Bus|The Who|Magic Bus by The Who|1968
Magic Carpet Ride|Steppenwolf|Magic Carpet Ride by Steppenwolf|1968
Magic Man|Heart|Magic Man by Heart|1976
Magic Power|Triumph|Magic Power by Triumph|
Magical Mystery Tour|The Beatles|Magical Mystery Tour by The Beatles|1967
Mainstreet|Bob Seger|Mainstreet by Bob Seger|1977
Make Me Smile|Chicago|Make Me Smile by Chicago|1970
Mama|Genesis|Mama by Genesis|1983
Mama Kin|Aerosmith|Mama Kin by Aerosmith|1973
Man In The Box|Alice In Chains|Man In The Box by Alice In Chains|1990
Man On The Corner|Genesis|Man On The Corner by Genesis|1981
Man On the Moon|R.E.M.|Man On the Moon by R.E.M.|1992
Man On The Silver Mountain|Rainbow|Man On The Silver Mountain by Rainbow|1975
Manic Depression|Jimi Hendrix|Manic Depression by Jimi Hendrix|1967
Marakesh Express|Gold Star Ballroom Orchestra|Marakesh Express by Gold Star Ballroom Orchestra|
Margaritaville|Jimmy Buffett|Margaritaville by Jimmy Buffett|1977
Mary Jane's Last Dance|Tom Petty & The Heartbreakers|Mary Jane's Last Dance by Tom Petty & The Heartbreakers|1993
Master of Puppets|Metallica|Master of Puppets by Metallica|1986
Maxwell's Silver Hammer|The Beatles|Maxwell's Silver Hammer by The Beatles|1969
Maybe|Clarks|Maybe by Clarks|
Maybe I'm Amazed|Paul McCartney & Wings|Maybe I'm Amazed by Paul McCartney & Wings|1970
Me and Bobby McGee|Grateful Dead|Me and Bobby McGee by Grateful Dead|
Me and Bobby McGee|Janis Joplin|Me and Bobby McGee by Janis Joplin|1971
Me And Julio Down By The Schoolyard|Paul Simon|Me And Julio Down By The Schoolyard by Paul Simon|1972
Mean Street|Van Halen|Mean Street by Van Halen|
Medicated Goo|Traffic|Medicated Goo by Traffic|
Medusa|Trapeze|Medusa by Trapeze|
Melissa|Allman Brothers Band|Melissa by Allman Brothers Band|1972
Mercury Blues|Steve Miller Band|Mercury Blues by Steve Miller Band|
Merry-Go-Round|Mama's Pride|Merry-Go-Round by Mama's Pride|
Message In A Bottle|The Police|Message In A Bottle by The Police|1979
Message of Love|The Pretenders|Message of Love by The Pretenders|
Metal Health|Quiet Riot|Metal Health by Quiet Riot|1983
Miami 2017 {seen The Lights Go Out On Broadway} (live 1|Billy Joel|Miami 2017 {seen The Lights Go Out On Broadway} (live 1 by Billy Joel|1976
Middle Of The Road|The Pretenders|Middle Of The Road by The Pretenders|1984
Midnight Blue|Lou Gramm|Midnight Blue by Lou Gramm|
Midnight Rambler|Rolling Stones|Midnight Rambler by Rolling Stones|1969
Midnight Rider|Allman Brothers Band|Midnight Rider by Allman Brothers Band|1970
Midnight Rider|Gregg Allman|Midnight Rider by Gregg Allman|1970
Mind Games|John Lennon|Mind Games by John Lennon|
Miss You|Rolling Stones|Miss You by Rolling Stones|1978
Mississippi Queen|Mountain|Mississippi Queen by Mountain|1970
Mista Bone|Great White|Mista Bone by Great White|
Mistral Wind|Heart|Mistral Wind by Heart|
Misty Mountain Hop|Led Zeppelin|Misty Mountain Hop by Led Zeppelin|1971
Misunderstanding|Genesis|Misunderstanding by Genesis|1980
MLK/Pride|U2|MLK/Pride by U2|1984
Moby Dick|Led Zeppelin|Moby Dick by Led Zeppelin|1969
Modern Day Cowboy|Tesla|Modern Day Cowboy by Tesla|
Modern Love|David Bowie|Modern Love by David Bowie|1983
Monday Morning|Fleetwood Mac|Monday Morning by Fleetwood Mac|1975
Money|Pink Floyd|Money by Pink Floyd|1973
Money for Nothing|Dire Straits|Money for Nothing by Dire Straits|1985
Moneytalks|AC/DC|Moneytalks by AC/DC|
Monkey Bars|Coney Hatch|Monkey Bars by Coney Hatch|
Monkey Man|Rolling Stones|Monkey Man by Rolling Stones|1969
Monkey Wrench|Foo Fighters|Monkey Wrench by Foo Fighters|1997
Monterey|The Animals|Monterey by The Animals|1968
Mony Mony|Billy Idol|Mony Mony by Billy Idol|
Moon Rider|Moxy|Moon Rider by Moxy|
Moondance|Van Morrison|Moondance by Van Morrison|1970
Moonlight Drive|The Doors|Moonlight Drive by The Doors|1967
More Than a Feeling|Boston|More Than a Feeling by Boston|1976
More Than Words|Extreme|More Than Words by Extreme|1991
Mother|Pink Floyd|Mother by Pink Floyd|1979
Mother's Little Helper|Rolling Stones|Mother's Little Helper by Rolling Stones|1966
Move It On Over|George Thorogood|Move It On Over by George Thorogood|
Move Over|Janis Joplin|Move Over by Janis Joplin|1971
